communicate round 1  accuracy: 0.20949995517730713
communicate round 2  accuracy: 0.2633000612258911
communicate round 3  accuracy: 0.30670005083084106
communicate round 4  accuracy: 0.39049994945526123
communicate round 5  accuracy: 0.47200003266334534
communicate round 6  accuracy: 0.5785002708435059
communicate round 7  accuracy: 0.6576998233795166
communicate round 8  accuracy: 0.6693000793457031
communicate round 9  accuracy: 0.6849000453948975
communicate round 10  accuracy: 0.7155999541282654
communicate round 11  accuracy: 0.7247001528739929
communicate round 12  accuracy: 0.744499921798706
communicate round 13  accuracy: 0.7318000197410583
communicate round 14  accuracy: 0.7541999220848083
communicate round 15  accuracy: 0.7603999376296997
communicate round 16  accuracy: 0.7699001431465149
communicate round 17  accuracy: 0.7785998582839966
communicate round 18  accuracy: 0.769899845123291
communicate round 19  accuracy: 0.7955998778343201
communicate round 20  accuracy: 0.7950999736785889
communicate round 21  accuracy: 0.8030000925064087
communicate round 22  accuracy: 0.8018998503684998
communicate round 23  accuracy: 0.806800127029419
communicate round 24  accuracy: 0.8166998028755188
communicate round 25  accuracy: 0.8189001679420471
communicate round 26  accuracy: 0.8266000151634216
communicate round 27  accuracy: 0.8251000046730042
communicate round 28  accuracy: 0.8349002003669739
communicate round 29  accuracy: 0.8327999711036682
communicate round 30  accuracy: 0.8385000824928284
communicate round 31  accuracy: 0.8445001244544983
communicate round 32  accuracy: 0.8384001851081848
communicate round 33  accuracy: 0.8456003069877625
communicate round 34  accuracy: 0.8474001288414001
communicate round 35  accuracy: 0.8442004323005676
communicate round 36  accuracy: 0.8435999155044556
communicate round 37  accuracy: 0.8571001291275024
communicate round 38  accuracy: 0.8542001247406006
communicate round 39  accuracy: 0.8582000136375427
communicate round 40  accuracy: 0.853100061416626
communicate round 41  accuracy: 0.8646002411842346
communicate round 42  accuracy: 0.8574998378753662
communicate round 43  accuracy: 0.862500011920929
communicate round 44  accuracy: 0.8592000603675842
communicate round 45  accuracy: 0.867800235748291
communicate round 46  accuracy: 0.8639000058174133
communicate round 47  accuracy: 0.8648000359535217
communicate round 48  accuracy: 0.8634001016616821
communicate round 49  accuracy: 0.8706002831459045
communicate round 50  accuracy: 0.8686999678611755
