communicate round 1  accuracy: 0.1305999904870987
communicate round 2  accuracy: 0.19489994645118713
communicate round 3  accuracy: 0.2971000373363495
communicate round 4  accuracy: 0.4152000844478607
communicate round 5  accuracy: 0.4960000216960907
communicate round 6  accuracy: 0.5480999946594238
communicate round 7  accuracy: 0.5823000073432922
communicate round 8  accuracy: 0.6141999363899231
communicate round 9  accuracy: 0.6450999975204468
communicate round 10  accuracy: 0.6657000780105591
communicate round 11  accuracy: 0.6858999729156494
communicate round 12  accuracy: 0.7066999673843384
communicate round 13  accuracy: 0.7329000234603882
communicate round 14  accuracy: 0.7475000619888306
communicate round 15  accuracy: 0.7620001435279846
communicate round 16  accuracy: 0.7660000324249268
communicate round 17  accuracy: 0.7806999087333679
communicate round 18  accuracy: 0.7926000952720642
communicate round 19  accuracy: 0.7979000210762024
communicate round 20  accuracy: 0.8061000108718872
communicate round 21  accuracy: 0.817899763584137
communicate round 22  accuracy: 0.8181999921798706
communicate round 23  accuracy: 0.8219001889228821
communicate round 24  accuracy: 0.828499972820282
communicate round 25  accuracy: 0.8328999280929565
communicate round 26  accuracy: 0.8412001132965088
communicate round 27  accuracy: 0.8389998078346252
communicate round 28  accuracy: 0.844499945640564
communicate round 29  accuracy: 0.848599910736084
communicate round 30  accuracy: 0.8549001812934875
communicate round 31  accuracy: 0.8567000031471252
communicate round 32  accuracy: 0.8574000000953674
communicate round 33  accuracy: 0.8626000881195068
communicate round 34  accuracy: 0.8604000806808472
communicate round 35  accuracy: 0.8614997863769531
communicate round 36  accuracy: 0.8694002032279968
communicate round 37  accuracy: 0.8684002161026001
communicate round 38  accuracy: 0.8694000840187073
communicate round 39  accuracy: 0.8730000257492065
communicate round 40  accuracy: 0.8764000535011292
communicate round 41  accuracy: 0.8763999342918396
communicate round 42  accuracy: 0.877900242805481
communicate round 43  accuracy: 0.8751001954078674
communicate round 44  accuracy: 0.879800021648407
communicate round 45  accuracy: 0.8808999061584473
communicate round 46  accuracy: 0.8824002146720886
communicate round 47  accuracy: 0.8859000205993652
communicate round 48  accuracy: 0.883899986743927
communicate round 49  accuracy: 0.8849000334739685
communicate round 50  accuracy: 0.885200023651123
