communicate round 1  accuracy: 0.16929994523525238
communicate round 2  accuracy: 0.33959999680519104
communicate round 3  accuracy: 0.4569000005722046
communicate round 4  accuracy: 0.5240999460220337
communicate round 5  accuracy: 0.5597999691963196
communicate round 6  accuracy: 0.577299952507019
communicate round 7  accuracy: 0.5920000076293945
communicate round 8  accuracy: 0.6185998916625977
communicate round 9  accuracy: 0.6435001492500305
communicate round 10  accuracy: 0.6810999512672424
communicate round 11  accuracy: 0.7218999266624451
communicate round 12  accuracy: 0.7422001361846924
communicate round 13  accuracy: 0.7615000009536743
communicate round 14  accuracy: 0.7779999375343323
communicate round 15  accuracy: 0.7861003279685974
communicate round 16  accuracy: 0.798799991607666
communicate round 17  accuracy: 0.8056000471115112
communicate round 18  accuracy: 0.8139999508857727
communicate round 19  accuracy: 0.8187999725341797
communicate round 20  accuracy: 0.8270002603530884
communicate round 21  accuracy: 0.8349999785423279
communicate round 22  accuracy: 0.8382999897003174
communicate round 23  accuracy: 0.8430001735687256
communicate round 24  accuracy: 0.8448001146316528
communicate round 25  accuracy: 0.8525001406669617
communicate round 26  accuracy: 0.8546000719070435
communicate round 27  accuracy: 0.8594000935554504
communicate round 28  accuracy: 0.8607998490333557
communicate round 29  accuracy: 0.8677000999450684
communicate round 30  accuracy: 0.8716999292373657
communicate round 31  accuracy: 0.8677999973297119
communicate round 32  accuracy: 0.8703002333641052
communicate round 33  accuracy: 0.8712002038955688
communicate round 34  accuracy: 0.8752999901771545
communicate round 35  accuracy: 0.8784999251365662
communicate round 36  accuracy: 0.8791999816894531
communicate round 37  accuracy: 0.8810001611709595
communicate round 38  accuracy: 0.8838000297546387
communicate round 39  accuracy: 0.8825000524520874
communicate round 40  accuracy: 0.8865999579429626
communicate round 41  accuracy: 0.8840997815132141
communicate round 42  accuracy: 0.889700174331665
communicate round 43  accuracy: 0.8883998990058899
communicate round 44  accuracy: 0.8853998780250549
communicate round 45  accuracy: 0.8910000324249268
communicate round 46  accuracy: 0.8912999033927917
communicate round 47  accuracy: 0.8910999298095703
communicate round 48  accuracy: 0.8939999938011169
communicate round 49  accuracy: 0.8974999785423279
communicate round 50  accuracy: 0.8939999938011169
