communicate round 1  accuracy: 0.6830999255180359  loss_value: 1.3565316951274873
communicate round 2  accuracy: 0.8032998442649841  loss_value: 0.6590013688802719
communicate round 3  accuracy: 0.8515000939369202  loss_value: 0.513067868500948
communicate round 4  accuracy: 0.8724998235702515  loss_value: 0.44359121181070804
communicate round 5  accuracy: 0.8874000310897827  loss_value: 0.39897483490407465
communicate round 6  accuracy: 0.8925001621246338  loss_value: 0.3716292657330632
communicate round 7  accuracy: 0.9005999565124512  loss_value: 0.3465958324074745
communicate round 8  accuracy: 0.9030998945236206  loss_value: 0.33318322701379655
communicate round 9  accuracy: 0.9101000428199768  loss_value: 0.313301226682961
communicate round 10  accuracy: 0.9122000932693481  loss_value: 0.2989718706160784
communicate round 11  accuracy: 0.9166998863220215  loss_value: 0.2827765707671642
communicate round 12  accuracy: 0.922200083732605  loss_value: 0.273621146986261
communicate round 13  accuracy: 0.9231998920440674  loss_value: 0.2624335117358714
communicate round 14  accuracy: 0.9277999997138977  loss_value: 0.24836075995117426
communicate round 15  accuracy: 0.930600106716156  loss_value: 0.24235174721106886
communicate round 16  accuracy: 0.9291000366210938  loss_value: 0.2353285016398877
communicate round 17  accuracy: 0.9371002912521362  loss_value: 0.22076283664442597
communicate round 18  accuracy: 0.9345000982284546  loss_value: 0.21676975230686366
communicate round 19  accuracy: 0.9363003373146057  loss_value: 0.20975623516365885
communicate round 20  accuracy: 0.9378999471664429  loss_value: 0.20779729509726166
communicate round 21  accuracy: 0.9420999884605408  loss_value: 0.1960848489543423
communicate round 22  accuracy: 0.9414000511169434  loss_value: 0.1957871460961178
communicate round 23  accuracy: 0.9459997415542603  loss_value: 0.18535309088416396
communicate round 24  accuracy: 0.9460999965667725  loss_value: 0.18165486278478057
communicate round 25  accuracy: 0.9465000629425049  loss_value: 0.17966961849946528
communicate round 26  accuracy: 0.9487999677658081  loss_value: 0.17244260377250611
communicate round 27  accuracy: 0.9492000341415405  loss_value: 0.1693626570282504
communicate round 28  accuracy: 0.9493001699447632  loss_value: 0.16793093831744044
communicate round 29  accuracy: 0.953400194644928  loss_value: 0.15961912667844444
communicate round 30  accuracy: 0.9540004134178162  loss_value: 0.15585225184913726
communicate round 31  accuracy: 0.9548999667167664  loss_value: 0.15605142787098886
communicate round 32  accuracy: 0.9563998579978943  loss_value: 0.149951063208282
communicate round 33  accuracy: 0.9571999311447144  loss_value: 0.14766279780305921
communicate round 34  accuracy: 0.9527998566627502  loss_value: 0.14856269214767961
communicate round 35  accuracy: 0.956800103187561  loss_value: 0.1440649864426814
communicate round 36  accuracy: 0.9566998481750488  loss_value: 0.1419592940597795
communicate round 37  accuracy: 0.9589001536369324  loss_value: 0.144178647515364
communicate round 38  accuracy: 0.9592999815940857  loss_value: 0.13537704709218815
communicate round 39  accuracy: 0.958200216293335  loss_value: 0.13873876818455755
communicate round 40  accuracy: 0.9594998955726624  loss_value: 0.13555546013638378
communicate round 41  accuracy: 0.9580999612808228  loss_value: 0.13661661541555076
communicate round 42  accuracy: 0.9605002403259277  loss_value: 0.13206355948001147
communicate round 43  accuracy: 0.9602999687194824  loss_value: 0.1289682422322221
communicate round 44  accuracy: 0.9620998501777649  loss_value: 0.12484355129767209
communicate round 45  accuracy: 0.9633999466896057  loss_value: 0.12404507372528314
communicate round 46  accuracy: 0.96319979429245  loss_value: 0.12361421806737781
communicate round 47  accuracy: 0.9639999270439148  loss_value: 0.12363678617402911
communicate round 48  accuracy: 0.9631001353263855  loss_value: 0.12389976045349613
communicate round 49  accuracy: 0.9636003375053406  loss_value: 0.12369716000510379
communicate round 50  accuracy: 0.9640999436378479  loss_value: 0.1181139180320315
